Title,Neighborhood,Total Area,Useful Area,Bedrooms,Bathrooms,Garage,Rent,Condo Fee,Link
,Aclimação,22.0,,1.0,1.0,0,R$ 570,R$ 400 Condominio,
,Tatuapé,55.0,,1.0,1.0,1,R$ 595,R$ 185 Condominio,
,Centro,110.0,,,1.0,10,R$ 599,R$ 415 Condominio,
,Aclimação,12.0,,1.0,1.0,0,R$ 600,R$ 220 Condominio,
,Liberdade,32.0,,,1.0,0,R$ 600,R$ 370 Condominio,
,Jardim das Vertentes,18.0,,1.0,1.0,0,R$ 600,,
,Aclimação,12.0,,1.0,1.0,0,R$ 600,R$ 220 Condominio,
,Cidade Líder,25.0,,1.0,1.0,0,R$ 600,,
,Sacomã,150.0,,1.0,1.0,0,R$ 600,R$ 10 Condominio,
,Jardim Maia,25.0,,1.0,1.0,0,R$ 600,,
,São Paulo,50.0,,2.0,1.0,0,R$ 600,R$ 300 Condominio,
,República,29.0,,,,0,R$ 630,R$ 585 Condominio,
,Mirandópolis,16.0,,1.0,1.0,0,R$ 640,R$ 500 Condominio,
,República,29.0,,1.0,,0,R$ 650,R$ 570 Condominio,
,São Paulo,20.0,,1.0,1.0,0,R$ 650,R$ 50 Condominio,
,Jardim Oriental,50.0,,1.0,1.0,0,R$ 650,,
,Parque Alves de Lima,12.0,,1.0,1.0,0,R$ 650,,
,Aclimação,25.0,,1.0,1.0,0,R$ 670,R$ 650 Condominio,
,Vila Maria,30.0,,1.0,1.0,0,R$ 680,R$ 175 Condominio,
,Vila Laís,20.0,,1.0,1.0,0,R$ 690,,
,Parque Cocaia,25.0,,1.0,1.0,0,R$ 690,,
,Alto da Lapa,11.0,,1.0,1.0,0,R$ 700,,
,Mandaqui,20.0,,1.0,1.0,0,R$ 700,R$ 350 Condominio,
,Vila Água Funda,14.0,,1.0,1.0,0,R$ 700,,
,Centro,59.0,,1.0,1.0,0,R$ 700,R$ 780 Condominio,
,Alto da Lapa,18.0,,1.0,1.0,0,R$ 700,,
,Altos de Vila Prudente,20.0,,1.0,1.0,0,R$ 700,,
,Centro,29.0,,1.0,1.0,0,R$ 700,R$ 375 Condominio,
,Jardim Independência,500.0,,1.0,1.0,0,R$ 700,R$ 120 Condominio,
